A;142;20010720 10:12;PDANN;
D;142;1516287;72;20010720 10:12;P;;;;;;
D;142;1516287;72;20010720 10:12;V;;;;;;
D;142;1516287;72;20010720 10:12;V;;;;;;
B;142;1516478;73;20010720 10:12;;6;69;CHAPEL ST;ROCKDALE;2216;;;20010112;20010323;277000;;R;;6;;;;7698551;
C;142;1516478;73;20010720 10:12;6//SP 31934;
D;142;1516478;73;20010720 10:12;P;;;;;;
D;142;1516478;73;20010720 10:12;V;;;;;;
B;142;1516626;74;20010720 10:12;;;14;CHESTNUT DR;BANKSIA;2216;455.3;M;20010303;20010601;380000;A;R;;;XG;;;7697654;
C;142;1516626;74;20010720 10:12;39//216393;
D;142;1516626;74;20010720 10:12;P;;;;;;
D;142;1516626;74;20010720 10:12;V;;;;;;
B;142;1516835;75;20010720 10:12;;1;38;CHUTER AVE;MONTEREY;2217;;;20010512;20010607;418000;;3;Other;1;;;;7681318;
C;142;1516835;75;20010720 10:12;1//SP 56910;
D;142;1516835;75;20010720 10:12;P;;;;;;
D;142;1516835;75;20010720 10:12;V;;;;;;
B;142;1517046;76;20010720 10:12;;9;116;CHUTER AVE;SANS SOUCI;2219;;;20010517;20010621;244500;;R;;9;;;;7713300;
C;142;1517046;76;20010720 10:12;9//940;
D;142;1517046;76;20010720 10:12;P;;;;;;
D;142;1517046;76;20010720 10:12;V;;;;;;
D;142;1517046;76;20010720 10:12;V;;;;;;
B;142;1517046;77;20010720 10:12;;26;116;CHUTER AVE;SANS SOUCI;2219;;;20010517;20010621;244500;;R;;26;;;;7713300;
C;142;1517046;77;20010720 10:12;26//940;
D;142;1517046;77;20010720 10:12;P;;;;;;
D;142;1517046;77;20010720 10:12;V;;;;;;
D;142;1517046;77;20010720 10:12;V;;;;;;
B;142;1517359;78;20010720 10:12;;12;158;CHUTER AVE;SANS SOUCI;2219;;;20010403;20010508;212000;;R;;12;;;;7665775;
C;142;1517359;78;20010720 10:12;12//1376;
D;142;1517359;78;20010720 10:12;P;;;;;;
D;142;1517359;78;20010720 10:12;P;;;;;;
D;142;1517359;78;20010720 10:12;V;;;;;;
B;142;1517387;79;20010720 10:12;;15;166;CHUTER AVE;SANS SOUCI;2219;;;20010423;20010604;245000;;R;;15;;;;7686109;
C;142;1517387;79;20010720 10:12;15//1471;
D;142;1517387;79;20010720 10:12;P;;;;;;
D;142;1517387;79;20010720 10:12;P;;;;;;
D;142;1517387;79;20010720 10:12;P;;;;;;
D;142;1517387;79;20010720 10:12;V;;;;;;
D;142;1517387;79;20010720 10:12;V;;;;;;
